2022-11-11 10:34:16.144  INFO 6784 --- [restartedMain] .r.MicroservicePlatformRecipeApplication : Starting MicroservicePlatformRecipeApplication on DESKTOP-29NB21D with PID 6784 (C:\Users\sejin\git\microservice-platform-recipe\bin\main started by sejin in C:\Users\sejin\git\microservice-platform-recipe)
2022-11-11 10:34:16.151  INFO 6784 --- [restartedMain] .r.MicroservicePlatformRecipeApplication : No active profile set, falling back to default profiles: default
2022-11-11 10:34:16.463  INFO 6784 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2022-11-11 10:34:16.464  INFO 6784 --- [restartedMain] .e.DevToolsPropertyDefaultsPostProcessor : For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2022-11-11 10:34:17.878  INFO 6784 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Bootstrapping Spring Data JPA repositories in DEFERRED mode.
2022-11-11 10:34:17.972  INFO 6784 --- [restartedMain] .s.d.r.c.RepositoryConfigurationDelegate : Finished Spring Data repository scanning in 84ms. Found 3 JPA repository interfaces.
2022-11-11 10:34:26.927  WARN 6784 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'recipeDetailRepository' and 'com.kyobo.platform.recipe.recipeDetail.RecipeDetailRepository' mapperInterface. Bean already defined with the same name!
2022-11-11 10:34:26.928  WARN 6784 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'recipeListRepository' and 'com.kyobo.platform.recipe.recipeList.RecipeListRepository' mapperInterface. Bean already defined with the same name!
2022-11-11 10:34:26.928  WARN 6784 --- [restartedMain] o.m.s.mapper.ClassPathMapperScanner      : Skipping MapperFactoryBean with name 'recipeRegistRepository' and 'com.kyobo.platform.recipe.repo.RecipeRegistRepository' mapperInterface. Bean already defined with the same name!
2022-11-11 10:34:27.130  INFO 6784 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean '(inner bean)#3d7c626b' of type [com.amazonaws.auth.EC2ContainerCredentialsProviderWrapper] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-11 10:34:27.139  INFO 6784 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean '(inner bean)#7bb3a1bb' of type [com.amazonaws.auth.profile.ProfileCredentialsProvider] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-11 10:34:27.239  INFO 6784 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler@195124d7' of type [org.springframework.security.access.expression.method.DefaultMethodSecurityExpressionHandler] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-11 10:34:27.244  INFO 6784 --- [restartedMain] trationDelegate$BeanPostProcessorChecker : Bean 'methodSecurityMetadataSource' of type [org.springframework.security.access.method.DelegatingMethodSecurityMetadataSource] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-11-11 10:34:27.758  INFO 6784 --- [restartedMain] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8080 (http)
2022-11-11 10:34:27.773  INFO 6784 --- [restartedMain] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2022-11-11 10:34:27.773  INFO 6784 --- [restartedMain] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.38]
2022-11-11 10:34:28.143  INFO 6784 --- [restartedMain] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2022-11-11 10:34:28.145  INFO 6784 --- [restartedMain] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 11680 ms
2022-11-11 10:34:28.342  INFO 6784 --- [restartedMain] o.s.s.concurrent.ThreadPoolTaskExecutor  : Initializing ExecutorService 'applicationTaskExecutor'
2022-11-11 10:34:28.407  INFO 6784 --- [task-1] o.hibernate.jpa.internal.util.LogHelper  : HHH000204: Processing PersistenceUnitInfo [name: default]
2022-11-11 10:34:28.448  WARN 6784 --- [restartedMain] JpaBaseConfiguration$JpaWebConfiguration : spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2022-11-11 10:34:28.510  INFO 6784 --- [task-1] org.hibernate.Version                    : HHH000412: Hibernate ORM core version 5.4.21.Final
2022-11-11 10:34:28.765  INFO 6784 --- [restartedMain] c.k.platform.recipe.config.AWSConfig     : ====================== amazonS3 start ======================
2022-11-11 10:34:28.800  INFO 6784 --- [task-1] o.hibernate.annotations.common.Version   : HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
2022-11-11 10:34:28.961  INFO 6784 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Starting...
2022-11-11 10:34:29.256  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection opened. {executed in 268ms} 
2022-11-11 10:34:29.258  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.new Connection returned 
2022-11-11 10:34:29.258  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getNetworkTimeout() returned 0
2022-11-11 10:34:29.268  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.isReadOnly() returned false
2022-11-11 10:34:29.269  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getAutoCommit() returned true
2022-11-11 10:34:29.279  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.isValid(1) returned true
2022-11-11 10:34:29.289  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getTransactionIsolation() returned 4
2022-11-11 10:34:29.290  INFO 6784 --- [task-1] com.zaxxer.hikari.HikariDataSource       : HikariPool-1 - Start completed.
2022-11-11 10:34:29.294  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getMetaData() returned com.mysql.cj.jdbc.DatabaseMetaDataUsingInfoSchema@2686c75b
2022-11-11 10:34:29.318  INFO 6784 --- [task-1] org.hibernate.dialect.Dialect            : HHH000400: Using dialect: org.hibernate.dialect.MySQL5Dialect
2022-11-11 10:34:29.330  INFO 6784 --- [restartedMain] c.k.platform.recipe.config.AWSConfig     : ====================== amazonS3 end ======================
2022-11-11 10:34:29.377  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getCatalog() returned recipe_db
2022-11-11 10:34:29.390  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getSchema() returned null
2022-11-11 10:34:29.391  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getSchema() returned null
2022-11-11 10:34:29.400  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.getMetaData() returned com.mysql.cj.jdbc.DatabaseMetaDataUsingInfoSchema@4a9c453f
2022-11-11 10:34:29.402  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.createClob() returned com.mysql.cj.jdbc.Clob@45b3eb02
2022-11-11 10:34:29.406  INFO 6784 --- [task-1] log4jdbc.log4j2                          : 1. Connection.clearWarnings() returned 
2022-11-11 10:34:29.470  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 2. Connection opened. {executed in 71ms} 
2022-11-11 10:34:29.473  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 2. Connection.new Connection returned 
2022-11-11 10:34:29.481  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 2. Connection.isReadOnly() returned false
2022-11-11 10:34:29.481  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 2. Connection.getAutoCommit() returned true
2022-11-11 10:34:29.577  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 3. Connection opened. {executed in 95ms} 
2022-11-11 10:34:29.577  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 3. Connection.new Connection returned 
2022-11-11 10:34:29.587  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 3. Connection.isReadOnly() returned false
2022-11-11 10:34:29.587  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 3. Connection.getAutoCommit() returned true
2022-11-11 10:34:29.681  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 4. Connection opened. {executed in 94ms} 
2022-11-11 10:34:29.682  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 4. Connection.new Connection returned 
2022-11-11 10:34:29.690  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 4. Connection.isReadOnly() returned false
2022-11-11 10:34:29.690  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 4. Connection.getAutoCommit() returned true
2022-11-11 10:34:29.812  INFO 6784 --- [HikariPool-1 connection adder] log4jdbc.log4j2                          : 5. Connection opened. {executed in 122ms} 
